snippet,sentimento,subjetividade
"09 jan Licitação de dois piscinões sairá neste início de ano, diz Dário Saadi ... Em entrevista para o jornal Correio Popular, em 08/01/2023, o prefeito ...",0.6,0.9
"Oct 25, 2023 ... O Paraná Pesquisas ouviu campinenses sobre em quem votariam na corrida pelo comando de Campinas. O atual prefeito do município, Dario Saadi, ...",0.0,0.0
"Oct 29, 2021 ... Dário Saadi é médico urologista, formado pela Pontifícia Universidade Católica de Campinas (PUC-Campinas). Nasceu em Pedregulho (SP) no dia 30 ...",0.0,0.0
"Apr 18, 2022 ... É um momento de alegria, de retomada das nossas tradições culturais, como é a Lenda do Boi Falô, com a macarronada que é servida há muitos anos.",0.0,0.0
"Aug 29, 2023 ... 79 curtidas,Vídeo do TikTok de Dário Saadi (@dariosaadi): ""Sabe qual a diferença entre a intenção e a ação? Foi o que fez ontem o governador ...",0.0,0.0
"Mar 22, 2023 ... Congratulations to Mayor Dario Saadi , Secretary of Tourism and Culture Mrs. Alexandra Caprioli and Secretary of Development, Innovation and ...",0.0,0.0
"Jul 20, 2023 ... A grande carta na manga de Dário Saadi é o projeto 'Espaço do Amanhã'. A iniciativa prevê a construção de 16 novas creches em diversas ...",0.0,0.0
"May 5, 2022 ... O prefeito Dário Saadi anunciou, nesta quinta-feira (28/04), a implantação de sistemas de semáforos “inteligentes” nos cruzamentos das vias ...",0.0,0.0
"Notícia publicada no portal Hora Campinas, no dia 12/05/2023. ""O prefeito de Campinas, Dário Saadi, realiza visita oficial às cidades de Barcelona e ...",0.0,0.0
"May 15, 2023 ... ... Dario Saadi, e da superintendente do Hospital de Clínicas (HC) da Unicamp, Elaine Ataide. “Os enfermeiros e enfermeiras são o elo de ligação ...",0.0,0.0
"Jul 12, 2023 ... ... Dário Saadi, prefeito de Campinas. “A inovação tem que ser hoje uma ... Saadi, mencionando o potencial das iniciativas para o desenvolvimento ...",0.0,0.0
"Nov 29, 2020 ... ... Dário Saadi (Republicanos) Campos dos Goytacazes (RJ): Wladimir Garotinho (PSD) - sub judice. Canoas (RS): Jairo Jorge (PSD) Cariacica (ES): ...",0.0,0.0
"Nov 28, 2020 ... ... Dário Saadi (Republicanos), com 55% dos votos válidos, enquanto seu adversário Rafa Zimbaldi (PL) tem 45%. Os números repetem o levantamento ...",0.0,0.0
Dário Saadi. Vice-presidente de Saúde da Frente Nacional de Prefeitos (FNP). img. Felipe Proenço. Diretor de Programa da Secretaria de Atenção Primária do ...,0.0,0.0
"... Dário Saadi afirmou se tratar de um loteamento para atender pessoas da ocupação Mandela Viva, sob ordem de despejo. Por CartaCapital | 19.06.2023 12h40 ...",0.0,0.0
"Apr 1, 2021 ... A medida será publicada pela prefeitura, gestão Dário Saadi (Republicanos), no Diário Oficial do município e será válida enquanto a cidade ...",0.0,0.0
"Apr 12, 2023 ... ... Dário Saadi; do reitor da Unicamp Antônio José de Almeida Meirelles; do presidente da Fapesp, Marco Antonio Zago, além de outras autoridades ...",0.0,0.0
"May 24, 2023 ... 7m58s. Dário Saadi. Frente Nacional de Prefeitos - FNP. 4m53s. Dr. Francisco. Deputado PT-PI. 6m48s. Geraldo Resende. Deputado PSDB-MS. 11m59s.",0.0,0.0
"Nov 4, 2021 ... ... Dário Saadi - Reprodução/Prefeitura de Campinas. Prefeito de Campinas, Dário Saadi Imagem: Reprodução/Prefeitura de Campinas. José Maria ...",0.0,0.0
"Oct 7, 2020 ... Dário Saadi · Como repercutiu presença de JAIR BOLSONARO na posse de JAVIER MILEI na Argentina? · Lawrence: Jack Smith seeking Trump case SCOTUS ...",0.0,0.0
"May 26, 2021 ... O prefeito de Campinas, Dário Saadi, iniciou oficialmente nesta quarta-feira, dia 26, em solenidade de abertura a Campanha do Agasalho 2021.",0.0,0.0
